Codigo_municipio;Municipios;Temp_min_invierno;Prec_max_invierno;Calidad_vida_media;Poblacion_total;Renta_media;Total_paro_registrado;Paro_hombre_menor_25;Paro_hombre_25_45;Paro_hombre_45+;Paro_mujer_menor_25;Paro_mujer_25_45;Paro_mujer_45+;Paro_agricultura;Paro_industria;Paro_construccion;Paro_servicios;demanda_raw;demanda_score;Demanda
46158;Macastre;0.8;76.6;0.5986117651273434;1461.0;13100.0;94.0;3.0;7.0;27.0;6.0;22.0;29.0;0.0;16.0;3.0;62.0;0.5169935617616045;0.6742030523067558;4
46159;Manises;0.8;76.6;0.5918694733060458;32609.0;12640.0;2404.0;102.0;304.0;501.0;96.0;517.0;884.0;32.0;290.0;141.0;1810.0;0.5802501387700267;0.8742849922354241;5
46160;Manuel;0.8;76.6;0.6337769116826972;2560.0;12885.0;134.0;3.0;16.0;28.0;3.0;31.0;55.0;7.0;21.0;10.0;93.0;0.5244863457991251;0.6979028924908695;4
46161;Marines;0.8;76.6;0.6990764151940991;1967.0;13725.0;96.0;3.0;8.0;28.0;3.0;22.0;35.0;3.0;12.0;3.0;79.0;0.5089937792743389;0.6488995649105538;4
46162;Massalavés;0.8;76.6;0.5865503870717967;1905.0;11316.0;104.0;3.0;11.0;21.0;3.0;31.0;36.0;3.0;15.0;3.0;68.0;0.5417739673854339;0.7525840185859608;4
46163;Massalfassar;0.8;76.6;0.7354874263381046;2716.0;16002.0;114.0;3.0;20.0;26.0;3.0;22.0;44.0;3.0;18.0;3.0;86.0;0.491130963748059;0.5923990877726563;3
46164;Massamagrell;0.8;76.6;0.6376930703248292;17566.0;13161.0;967.0;38.0;127.0;218.0;36.0;181.0;367.0;19.0;123.0;78.0;694.0;0.5557708625989589;0.7968565050173322;4
46165;Massanassa;0.8;76.6;0.6444825469547528;10607.0;13889.0;630.0;19.0;82.0;125.0;19.0;143.0;242.0;3.0;85.0;42.0;457.0;0.5407804464925183;0.7494414902194994;4
46166;Meliana;0.8;76.6;0.6756533803795997;11055.0;14462.0;593.0;23.0;77.0;136.0;14.0;117.0;226.0;10.0;68.0;37.0;443.0;0.5334921631866749;0.7263884903331995;4
46167;Millares;0.8;76.6;0.4804464423544701;321.0;12836.0;44.0;0.0;3.0;7.0;3.0;7.0;25.0;3.0;3.0;3.0;37.0;0.5229006411028525;0.6928872737712226;4
46168;Miramar;0.8;76.6;0.71401244007955;3143.0;13899.0;140.0;5.0;23.0;30.0;3.0;28.0;53.0;5.0;12.0;5.0;116.0;0.5136063914405196;0.6634893583201013;4
46169;Mislata;0.8;76.6;0.6339891604086189;47079.0;13573.0;2797.0;69.0;377.0;581.0;77.0;590.0;1103.0;24.0;281.0;190.0;2042.0;0.5700287595465968;0.8419545456559617;5
46170;Moixent/Mogente;0.8;76.6;0.6194399141594125;4401.0;12456.0;250.0;5.0;27.0;45.0;7.0;55.0;111.0;12.0;47.0;7.0;177.0;0.5410293528211205;0.750228786393945;4
46171;Montcada/Moncada;0.8;76.6;0.6528209680644006;22213.0;13836.0;1179.0;47.0;167.0;267.0;48.0;200.0;450.0;15.0;138.0;100.0;841.0;0.5516455475571109;0.7838080430956578;4
46172;Montserrat;0.8;76.6;0.6347758904497924;10062.0;13153.0;556.0;10.0;58.0;146.0;10.0;129.0;203.0;15.0;85.0;54.0;393.0;0.5462668991996302;0.7667952604182834;4
46173;Montaverner;0.8;76.6;0.5463277333436654;1624.0;12836.0;103.0;3.0;19.0;28.0;0.0;13.0;41.0;3.0;39.0;5.0;52.0;0.5216046784948055;0.6887881156290024;4
46174;Montesa;0.8;117.4;0.6170811112304839;1128.0;12446.0;66.0;3.0;7.0;6.0;3.0;19.0;31.0;3.0;7.0;5.0;47.0;0.5181908182444602;0.6779900008109415;4
46175;Montitxelvo/Montichelvo;0.8;76.6;0.6395784724023156;556.0;13335.0;22.0;0.0;6.0;5.0;3.0;6.0;3.0;0.0;3.0;6.0;13.0;0.4876115821362358;0.5812672065747674;3
46176;Montroi/Montroy;0.8;76.6;0.5959796240156884;3792.0;11987.0;214.0;6.0;27.0;57.0;5.0;49.0;70.0;6.0;40.0;22.0;141.0;0.5445759908452943;0.7614468802216743;4
46177;Museros;0.8;76.6;0.6629704356398267;6871.0;14455.0;381.0;17.0;47.0;78.0;11.0;94.0;134.0;3.0;56.0;26.0;274.0;0.5260214044168179;0.7027583165535926;4
46178;Nàquera/Náquera;0.8;76.6;0.7186261726190479;8556.0;15626.0;412.0;17.0;46.0;85.0;17.0;87.0;160.0;5.0;51.0;33.0;318.0;0.5165439766336328;0.6727810046901788;4
46179;Navarrés;0.8;76.6;0.6130461092381272;3027.0;11852.0;170.0;3.0;16.0;34.0;3.0;49.0;66.0;6.0;29.0;8.0;122.0;0.542452873779686;0.7547314143954723;4
46180;Novetlè;0.8;76.6;0.707584478648764;872.0;15022.0;39.0;0.0;5.0;15.0;0.0;6.0;13.0;3.0;3.0;3.0;29.0;0.4806486318267304;0.5592432420885564;3
46181;Oliva;0.8;76.6;0.6374127194258182;26813.0;12866.0;1556.0;39.0;200.0;345.0;56.0;371.0;545.0;68.0;100.0;151.0;1184.0;0.5677949059036466;0.8348888176078143;5
46182;Olocau;0.8;76.6;0.7030380758555642;2534.0;15763.0;133.0;5.0;16.0;38.0;3.0;23.0;47.0;3.0;16.0;8.0;99.0;0.49602614068924517;0.607882639760558;4
46183;Olleria,;0.8;76.6;0.5933417146538237;8818.0;12575.0;477.0;16.0;46.0;99.0;14.0;94.0;208.0;14.0;122.0;22.0;287.0;0.5504980889630455;0.7801786064054957;4
46184;Ontinyent;0.8;76.6;0.5743735262958672;37012.0;13307.0;2387.0;63.0;295.0;489.0;75.0;464.0;1001.0;74.0;572.0;132.0;1414.0;0.5708275771896416;0.8444812233743652;5
46185;Otos;0.8;76.6;0.660139050367387;442.0;12504.0;21.0;0.0;3.0;5.0;0.0;5.0;8.0;0.0;3.0;3.0;16.0;0.4967702320396003;0.6102362170153528;4
46186;Paiporta;0.8;76.6;0.6292090549596248;28136.0;13675.0;1742.0;61.0;206.0;368.0;48.0;356.0;703.0;20.0;299.0;110.0;1251.0;0.5609882044825032;0.8133590717811272;5
46187;Palma;0.8;76.6;0.7011049835699256;1897.0;12985.0;81.0;3.0;11.0;20.0;3.0;19.0;26.0;0.0;8.0;5.0;67.0;0.5142261663033924;0.6654497197994476;4
46188;Palmera;0.8;76.6;0.7040783148379121;1038.0;12843.0;49.0;0.0;9.0;11.0;0.0;11.0;18.0;0.0;3.0;3.0;43.0;0.5072572155179692;0.643406775676353;4
46189;Palomar,;-2.0;76.6;0.6122118654452101;593.0;13652.0;31.0;0.0;7.0;3.0;0.0;6.0;14.0;0.0;12.0;0.0;18.0;0.518331493192474;0.6784349587556973;4
46190;Paterna;0.8;76.6;0.6542002983183155;76019.0;14451.0;4714.0;153.0;653.0;981.0;150.0;1090.0;1687.0;42.0;451.0;411.0;3665.0;0.570439938059468;0.8432551123069411;5
46191;Pedralba;0.8;76.6;0.5833696612325628;3225.0;12052.0;197.0;6.0;18.0;61.0;6.0;40.0;66.0;12.0;29.0;17.0;128.0;0.5427228578568429;0.7555853799507097;4
46192;Petrés;0.8;76.6;0.685943837575666;1124.0;13583.0;58.0;3.0;3.0;18.0;3.0;12.0;20.0;0.0;5.0;3.0;47.0;0.5019140989701585;0.626506380891972;4
46193;Picanya;0.8;76.6;0.6977737271466277;11901.0;15623.0;617.0;22.0;89.0;131.0;18.0;117.0;240.0;7.0;107.0;29.0;454.0;0.5237774774351621;0.6956607263142695;4
46194;Picassent;0.8;76.6;0.6220453210578811;23202.0;13620.0;1382.0;49.0;187.0;306.0;34.0;294.0;512.0;37.0;222.0;80.0;938.0;0.5572894273003794;0.8016597584612699;5
46195;Piles;0.8;76.6;0.6927936648398241;3151.0;12977.0;131.0;5.0;13.0;35.0;3.0;36.0;39.0;10.0;8.0;5.0;104.0;0.5226864031251965;0.6922096343508966;4
46196;Pinet;0.8;76.6;0.7034685607943957;156.0;14560.0;10.0;0.0;3.0;3.0;0.0;0.0;5.0;3.0;0.0;0.0;9.0;0.46272864693784155;0.5025619370033331;3
46197;Polinyà;0.8;76.6;0.660804608678547;2577.0;13072.0;120.0;6.0;11.0;28.0;3.0;31.0;40.0;3.0;13.0;10.0;87.0;0.5200696624142263;0.6839328261121019;4
46198;Potries;0.8;76.6;0.7200708441751646;1135.0;14346.0;51.0;3.0;6.0;10.0;5.0;14.0;12.0;3.0;3.0;3.0;42.0;0.4915850854421142;0.5938354846472164;3
46199;Pobla;0.8;76.6;0.6931405114049052;9255.0;14863.0;458.0;15.0;56.0;107.0;9.0;107.0;164.0;7.0;55.0;33.0;342.0;0.5250120984902696;0.6995658597796766;4
46200;Pobla;0.8;76.6;0.7076971835165992;2451.0;12942.0;46.0;3.0;7.0;12.0;3.0;7.0;17.0;3.0;7.0;3.0;31.0;0.5096164928534799;0.6508692216138855;4
46201;Puebla;-2.0;76.6;0.4825663927657906;53.0;0.0;3.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;3.0;0.3316125442179938;0.0878388294823431;1
46202;Pobla;0.8;76.6;0.6766730466584361;27471.0;15061.0;1469.0;64.0;203.0;301.0;54.0;298.0;549.0;25.0;209.0;113.0;1061.0;0.5437381152480818;0.7587966613379233;4
46203;Pobla;0.8;76.6;0.6590945613905941;4665.0;12875.0;202.0;10.0;26.0;35.0;8.0;58.0;65.0;3.0;23.0;9.0;143.0;0.5314143433455425;0.719816300621121;4
46204;Puig;0.8;76.6;0.737855026410523;9490.0;16616.0;448.0;18.0;61.0;120.0;14.0;70.0;165.0;6.0;53.0;27.0;344.0;0.5103395956441533;0.6531564115942493;4
46205;Puçol;0.8;76.6;0.7158642386287857;21659.0;15632.0;977.0;37.0;121.0;167.0;27.0;238.0;387.0;15.0;115.0;64.0;729.0;0.531411525362393;0.7198073872786371;4
46206;Quesa;0.8;76.6;0.5709232407746678;691.0;11762.0;52.0;3.0;10.0;16.0;0.0;8.0;16.0;3.0;8.0;3.0;38.0;0.5257195333502395;0.7018034917517177;4
