Codigo_municipio;Municipios;Poblacion_total;Renta_media;Total_paro_registrado;Paro_hombre_menor_25;Paro_hombre_25_45;Paro_hombre_45+;Paro_mujer_menor_25;Paro_mujer_25_45;Paro_mujer_45+;Paro_agricultura;Paro_industria;Paro_construccion;Paro_servicios;Demanda_score;Demanda_comedor
46235;Sueca;29194.0;13771.0;1567.0;60.0;205.0;342.0;44.0;330.0;586.0;39.0;237.0;123.0;1062.0;0.13555747342444618;2
46236;Sumacàrcer;1013.0;13129.0;42.0;3.0;3.0;15.0;3.0;12.0;11.0;3.0;0.0;3.0;35.0;0.12134329825048071;2
46237;Tavernes;9824.0;13413.0;515.0;18.0;64.0;110.0;16.0;100.0;207.0;3.0;81.0;38.0;354.0;0.12461749880795324;2
46238;Tavernes;17866.0;13324.0;861.0;23.0;108.0;163.0;31.0;233.0;303.0;31.0;85.0;50.0;635.0;0.13163658903226105;2
46239;Teresa;620.0;13572.0;21.0;3.0;3.0;5.0;3.0;3.0;8.0;0.0;3.0;3.0;15.0;0.1149725528862154;2
46240;Terrateig;290.0;13824.0;13.0;3.0;3.0;3.0;3.0;3.0;5.0;0.0;3.0;3.0;10.0;0.1113440391454084;2
46241;Titaguas;517.0;14130.0;19.0;0.0;3.0;3.0;0.0;3.0;9.0;3.0;3.0;0.0;12.0;0.1072951989070691;2
46242;Torrebaja;398.0;14256.0;21.0;3.0;3.0;7.0;0.0;6.0;5.0;5.0;3.0;3.0;11.0;0.10554822845830888;2
46243;Torrella;151.0;12243.0;6.0;0.0;3.0;3.0;0.0;3.0;0.0;0.0;0.0;0.0;6.0;0.13283541873602414;2
46244;Torrent;90928.0;13142.0;6479.0;252.0;824.0;1291.0;260.0;1484.0;2368.0;182.0;1131.0;521.0;4296.0;0.2078265367543668;2
46245;Torres;808.0;16748.0;40.0;3.0;5.0;13.0;3.0;8.0;12.0;3.0;6.0;3.0;27.0;0.07180880131242327;2
46246;Tous;1354.0;13829.0;48.0;0.0;8.0;11.0;3.0;5.0;23.0;3.0;3.0;3.0;40.0;0.11195213002969268;2
46247;Tuéjar;1278.0;13356.0;78.0;3.0;8.0;22.0;3.0;15.0;30.0;8.0;7.0;6.0;55.0;0.11864171655655771;2
46248;Turís;7717.0;12507.0;360.0;14.0;44.0;84.0;7.0;81.0;130.0;27.0;49.0;31.0;231.0;0.13492965658509248;2
46249;Utiel;11663.0;12313.0;566.0;17.0;63.0;106.0;22.0;121.0;237.0;59.0;102.0;29.0;349.0;0.1407347802541499;2
46250;València;840792.0;16121.0;47176.0;1351.0;6841.0;10861.0;1241.0;10085.0;16797.0;627.0;3988.0;2859.0;36849.0;0.7797477001548411;5
46251;Vallada;3091.0;13068.0;162.0;9.0;14.0;37.0;3.0;30.0;70.0;3.0;24.0;3.0;123.0;0.123935617776266;2
46252;Vallanca;128.0;14769.0;6.0;3.0;0.0;3.0;0.0;0.0;3.0;0.0;3.0;0.0;5.0;0.09831587235732668;2
46253;Vallés;161.0;11778.0;6.0;3.0;3.0;0.0;0.0;0.0;3.0;0.0;3.0;0.0;3.0;0.13919202441768988;2
46254;Venta;1143.0;10856.0;39.0;3.0;3.0;7.0;3.0;14.0;14.0;3.0;5.0;0.0;28.0;0.152418987293856;2
46255;Vilallonga/Villalonga;4865.0;13020.0;223.0;5.0;33.0;60.0;8.0;45.0;72.0;5.0;27.0;14.0;173.0;0.12574160197341908;2
46256;Vilamarxant;11403.0;12846.0;771.0;29.0;97.0;172.0;28.0;186.0;259.0;11.0;113.0;52.0;558.0;0.1350980985531783;2
46257;Castelló;6972.0;13019.0;281.0;11.0;43.0;60.0;10.0;63.0;94.0;14.0;36.0;20.0;194.0;0.12699883106729198;2
46258;Villar;3862.0;13378.0;190.0;7.0;17.0;49.0;10.0;39.0;68.0;12.0;29.0;7.0;135.0;0.12021276598167618;2
46259;Villargordo;588.0;12006.0;24.0;3.0;3.0;3.0;3.0;10.0;6.0;3.0;3.0;0.0;17.0;0.13638196294424115;2
46260;Vinalesa;3572.0;14715.0;146.0;8.0;18.0;35.0;3.0;33.0;50.0;3.0;21.0;7.0;102.0;0.1014695301056416;2
46261;Yátova;2325.0;14033.0;113.0;8.0;17.0;28.0;3.0;26.0;32.0;3.0;23.0;12.0;70.0;0.11006257769092721;2
46262;Yesa,;246.0;14763.0;6.0;0.0;0.0;3.0;3.0;3.0;3.0;0.0;3.0;0.0;5.0;0.09843995019613705;2
46263;Zarra;374.0;12091.0;20.0;3.0;3.0;8.0;0.0;3.0;5.0;3.0;3.0;3.0;13.0;0.13511038286433397;2
46902;Gátova;452.0;12031.0;45.0;3.0;9.0;16.0;3.0;3.0;14.0;0.0;7.0;7.0;30.0;0.13616993274519995;2
46903;San;11192.0;18273.0;356.0;9.0;35.0;77.0;3.0;66.0;165.0;3.0;41.0;21.0;289.0;0.05735797695843109;2
46904;Benicull;1179.0;13281.0;60.0;3.0;8.0;16.0;3.0;14.0;18.0;3.0;7.0;8.0;43.0;0.11947845622943029;2
