Codigo_municipio;Municipios;Poblacion_total;Renta_media;Total_paro_registrado;Paro_hombre_menor_25;Paro_hombre_25_45;Paro_hombre_45+;Paro_mujer_menor_25;Paro_mujer_25_45;Paro_mujer_45+;Paro_agricultura;Paro_industria;Paro_construccion;Paro_servicios;Demanda_score;Demanda_comedor
46111;Chiva;17951.0;15381.0;864.0;32.0;114.0;171.0;29.0;196.0;322.0;23.0;142.0;38.0;594.0;0.10358870181497923;2
46112;Chulilla;710.0;14279.0;35.0;3.0;3.0;10.0;3.0;9.0;11.0;3.0;7.0;3.0;22.0;0.10546402022421539;2
46113;Daimús;3524.0;15478.0;163.0;7.0;30.0;37.0;3.0;23.0;63.0;3.0;24.0;7.0;128.0;0.09117209781431071;2
46114;Domeño;723.0;14197.0;44.0;3.0;5.0;3.0;3.0;13.0;19.0;3.0;3.0;3.0;35.0;0.10666528930813793;2
46115;Dos;340.0;12709.0;24.0;3.0;3.0;3.0;3.0;6.0;6.0;0.0;9.0;3.0;14.0;0.12668877506561765;2
46116;Eliana,;19839.0;18983.0;789.0;23.0;105.0;209.0;19.0;137.0;296.0;3.0;105.0;30.0;629.0;0.05441430355279616;2
46117;Emperador;700.0;15240.0;29.0;3.0;3.0;10.0;3.0;3.0;11.0;3.0;3.0;0.0;24.0;0.09227996775870934;2
46118;Enguera;4807.0;13123.0;295.0;8.0;38.0;65.0;7.0;46.0;131.0;12.0;48.0;20.0;201.0;0.12492415511661488;2
46119;Énova,;952.0;12681.0;35.0;3.0;7.0;6.0;0.0;6.0;15.0;3.0;8.0;3.0;22.0;0.1273829568716334;2
46120;Estivella;1710.0;15514.0;63.0;3.0;9.0;15.0;0.0;7.0;30.0;3.0;7.0;3.0;50.0;0.08918511410220883;2
46121;Estubeny;110.0;14352.0;3.0;0.0;3.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;3.0;0.10398125336451257;2
46122;Faura;3753.0;13288.0;145.0;3.0;20.0;28.0;3.0;34.0;58.0;3.0;18.0;6.0;106.0;0.12102194432309499;2
46123;Favara;2776.0;12643.0;128.0;3.0;19.0;26.0;5.0;22.0;52.0;3.0;19.0;10.0;94.0;0.12934148132811957;2
46124;Fontanars;936.0;13696.0;37.0;3.0;6.0;5.0;0.0;7.0;16.0;3.0;3.0;3.0;22.0;0.11352682255765652;2
46125;Fortaleny;1024.0;14047.0;54.0;0.0;7.0;11.0;3.0;8.0;24.0;3.0;9.0;0.0;42.0;0.10890684389548254;2
46126;Foios;7995.0;15115.0;353.0;10.0;36.0;86.0;8.0;78.0;135.0;9.0;58.0;18.0;252.0;0.09933783611966025;2
46127;Font;4020.0;12485.0;217.0;9.0;22.0;52.0;6.0;65.0;63.0;3.0;7.0;26.0;173.0;0.13269863607798327;2
46128;Font;2022.0;12635.0;110.0;3.0;10.0;16.0;5.0;22.0;55.0;6.0;18.0;3.0;80.0;0.12902912886827986;2
46129;Fuenterrobles;678.0;10769.0;32.0;0.0;3.0;6.0;3.0;6.0;16.0;3.0;3.0;0.0;24.0;0.15338235293095392;2
46130;Gavarda;1023.0;12883.0;38.0;0.0;8.0;6.0;3.0;10.0;12.0;3.0;5.0;5.0;24.0;0.12467391260083015;2
46131;Gandia;83135.0;12511.0;5237.0;201.0;703.0;1151.0;167.0;1073.0;1942.0;125.0;395.0;349.0;4222.0;0.20313616954275496;2
46132;Genovés,;2822.0;12429.0;126.0;8.0;14.0;18.0;3.0;31.0;53.0;3.0;22.0;10.0;88.0;0.13226470019779596;2
46133;Gestalgar;587.0;14415.0;32.0;0.0;3.0;7.0;0.0;13.0;9.0;3.0;6.0;3.0;23.0;0.10353660364695934;2
46134;Gilet;4011.0;15222.0;170.0;5.0;19.0;32.0;5.0;36.0;73.0;3.0;19.0;11.0;130.0;0.09490280106452663;2
46135;Godella;13533.0;19567.0;541.0;19.0;72.0;148.0;11.0;111.0;180.0;3.0;56.0;40.0;433.0;0.042082649277631244;2
46136;Godelleta;4266.0;13332.0;194.0;3.0;22.0;55.0;9.0;28.0;77.0;7.0;40.0;12.0;120.0;0.12101930387205417;2
46137;Granja;306.0;13957.0;3.0;0.0;0.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;3.0;0.10944785378973926;2
46138;Guadasséquies;478.0;13470.0;20.0;3.0;3.0;3.0;3.0;7.0;5.0;3.0;3.0;0.0;13.0;0.11630697702606883;2
46139;Guadassuar;6039.0;14140.0;191.0;3.0;27.0;48.0;8.0;41.0;65.0;6.0;41.0;19.0;117.0;0.11058722826391969;2
46140;Guardamar;622.0;15997.0;26.0;3.0;6.0;9.0;0.0;3.0;9.0;3.0;0.0;3.0;23.0;0.08188422820172264;2
46141;Higueruelas;567.0;14050.0;27.0;3.0;3.0;5.0;0.0;6.0;13.0;3.0;3.0;0.0;19.0;0.10847386604871094;2
46142;Jalance;808.0;14860.0;24.0;0.0;6.0;3.0;0.0;5.0;9.0;0.0;3.0;3.0;17.0;0.09746783808206645;2
46143;Xeraco;6149.0;12681.0;223.0;11.0;27.0;55.0;7.0;55.0;68.0;8.0;10.0;17.0;183.0;0.13083131080160687;2
46144;Jarafuel;788.0;14155.0;31.0;3.0;3.0;7.0;3.0;5.0;11.0;3.0;3.0;0.0;28.0;0.10715207894083288;2
46145;Xàtiva;31008.0;13976.0;1944.0;63.0;267.0;408.0;61.0;403.0;742.0;61.0;238.0;121.0;1394.0;0.13660045938963536;2
46146;Xeresa;2418.0;13767.0;63.0;3.0;17.0;14.0;3.0;15.0;14.0;3.0;5.0;3.0;54.0;0.11330602707732428;2
46147;Llíria;25333.0;13245.0;1748.0;70.0;261.0;367.0;65.0;387.0;598.0;42.0;185.0;147.0;1257.0;0.14290096926423027;2
46148;Loriguilla;2188.0;14423.0;131.0;10.0;12.0;24.0;6.0;31.0;48.0;6.0;9.0;6.0;100.0;0.10483796105434229;2
46149;Losa;531.0;12711.0;24.0;3.0;3.0;3.0;0.0;5.0;10.0;3.0;3.0;3.0;19.0;0.1267296002026119;2
